Compound,outputs,inputs
Chlorpyrifos,AChE inhibition,"Previous studies suggest that low doses of the organophosphate insecticide chlorpyrifos CPF disrupt brain development and cognitive function by mechanisms that do not involve the inhibition of acetylcholinesterase AChE. In the present study we tested the hypothesis that CPF and its metabolites alter the Ca2/cAMP response element binding protein CREB, a critical molecule in brain development and cognitive function. We further tested the hypothesis that changes in CREB occur independent of AChE inhibition. Western blot analysis of lysates from primary cultures of cortical neurons exposed to CPF, CPF-oxon, or trichloropyridinol TCP for 1 h and cultures exposed to trichloropyridinol TCP for 7 days indicated that all exposures increased the level of the phosphorylated activated form of CREB pCREB, without significant changes in total CREB or alpha-tubulin. Remarkably, pCREB in cortical neurons was elevated by 300-400 of control levels with estimated EC50s of 60 pM, lt30 fM, and lt30 pM for CPF, CPF-oxon, and TCP, respectively. AChE activity and cell viability were not affected by organophosphate concentrations that caused significant increases in pCREB up to 100 nM, 100 pM, and 10 microM of CPF, CPF-oxon, and TCP, respectively. The level of pCREB in hippocampal neurons was also elevated after exposure to CPF, but pCREB in cultured astrocytes was not affected. Inclusion of the cytochrome P-450 inhibitor SKF-525A did not inhibit the effects of CPF on pCREB levels, indicating that metabolism of CPF to CPF-oxon was not necessary to cause the increase in pCREB. The increases in neuronal pCREB observed in this study provide biochemical evidence that CPF and its metabolites are active at critical sites within the nervous system at levels far below those required to inhibit AChE, which could explain many of the reported neurodevelopmental and behavioral changes attributed to CPF toxicity."
Chlorpyrifos,AChE inhibition,"Steelhead trout Oncorhynchus mykiss were exposed for 96 h to the organophosphate chlorpyrifos to establish benchmark concentration BMC values in the low-effect range of brain acetylcholinesterase AChE inhibition. The U.S. Environmental Protection Agency U.S. EPA benchmark dose software was used to model the data. Benchmark concentrations were determined for a range of inhibition levels at 5, 10, and 20, at 1 and 2 control standard deviations SD, and at an experimental limit-of-detection level of 2.5. One contributing difficulty in establishing precise inhibition BMCs in the lower effect region is the variability associated with the AChE analytical method. To minimize this variability, the Ellman method was modified specifically for analysis of O. mykiss brain tissue. Laboratory-established BMCs for chlorpyrifos were then compared with the U.S. EPA 96-h water quality criteria and with the concentration levels detected in Northwest surface waters that are home to threatened steelhead trout. The U.S. EPA 96-h water quality criteria of 0.083 microg/L is below the BMC02.5, the limit-of-detection value for this study. The average chlorpyrifos concentration detected during a two-week period in one monitored stream was 0.127 microg/L, which approaches the BMC02.5. The peak chlorpyrifos concentration detected at 0.482 microg/L is near the BMC1SD estimate."
Chlorpyrifos,AChE inhibition,"Acetylcholine ACh release is modulated pre-synaptically by both muscarinic and nicotinic receptor-mediated processes. While muscarinic autoreceptors inhibit ACh release, nicotinic autoreceptors enhance ACh release and thus disruption of these processes could potentially affect cholinergic toxicity following exposure to anticholinesterases. Marked age-related differences in sensitivity to some organophosphorus OP anticholinesterases have been reported. We compared nicotinic autoreceptor function NAF during maturation and aging and evaluated its potential modulation by the common OP insecticide, chlorpyrifos CPF. Cortical synaptosomes were pre-loaded with 3Hcholine, superfused 0.6 ml/min with physiological buffer and 3HACh release was evoked with potassium KCl, 9 mM, with or without co-addition of exogenous ACh to stimulate nicotinic autoreceptors. Fractions of perfusate were subsequently collected and area under the curve AUC for 3H was analyzed by scintillation counting. The difference in evoked release due to co-addition of exogenous ACh was defined as NAF. Under these conditions, atropine ATR, 0.1 microM appeared requisite for NAF thus this muscarinic antagonist was subsequently added to all perfusion buffers. In synaptosomes from adult tissues, exogenous ACh 3-100 microM significantly increased release in a concentration-dependent manner. The nicotinic antagonist mecamylamine MEC, 100 microM substantially reduced the potassium-evoked release elicited by co-addition of ACh 10 microM. Interestingly, the nicotinic agonists nicotine NIC and dimethylphenylpiperazinium DMPP 0.1-10 microM had no effect on release. The active metabolite of CPF i.e. chlorpyrifos oxon CPO, 1-10 microM inhibited NAF in vitro. Maturation-related expression of NAF was noted AUC with co-addition of 10 microM ACh 7-day rats, 7/-6 21-day rats, 44/-6 90-day rats, 196/-37 24-month rats, 173/-52. NAF was substantially reduced 67-91 96 h after maximum tolerated dosages of CPF in adult and aged rats 279 mg/kg, sc but not in juveniles 127 mg/kg, sc, even though AChE inhibition was similar among the age groups gt80. Together these data suggest that NAF is differentially expressed during maturation and that this neuromodulatory process may be selectively altered by some OP insecticides, potentially contributing to age-related differences in response to AChE inhibitors. As NAF has been postulated to be activated under conditions of impaired cholinergic function, selective alteration of this pre-synaptic process by OP anticholinesterases may be also important in age-related conditions associated with cholinergic hypofunction."
Chlorpyrifos,AChE inhibition,"Chlorpyrifos, an acetylcholinesterase AChE inhibitor, is a widely used organophosphate pesticide. Recent concern has focused on its neurotoxicity that is not attributable to AChE inhibition. Here, we report that chlorpyrifos and chlorpyrifos-oxon, but not 3,5,6-trichloro-2-pyridinol TCP the breakdown product of chlorpyrifos and chlorpyrifos-oxon, induce apoptosis in primary cortical neurons cultured from embryonic day 17 or newborn rats. It is generally agreed that chlorpyrifos-oxon is approximately three orders of magnitude more potent than chlorpyrifos in inhibition of brain acetylcholinesterase activity. However, our data demonstrate that chlorpyrifos-oxon is only slightly more potent than chlorpyrifos in inducing apoptosis. This indicates that chlorpyrifos-induced apoptosis may occur independently of AChE inhibition, although AChE activity was not measured in this study. Furthermore, chlorpyrifos activates the ERK1/2 and p38 MAP kinases. Surprisingly, blocking ERK1/2 activation by the MEK inhibitor SL327 caused a small but statistically significant inhibition of apoptosis, while blocking p38 with SB202190 significantly accelerated apoptosis induced by chlorpyrifos. This suggests a pro- and anti-apoptotic role for ERK1/2 and p38, respectively. Although chlorpyrifos did not stimulate total JNK activity, it caused a sustained activation of a sub-pool of JNK in the nucleus and stimulated phosphorylation of c-Jun, a downstream target of JNK. Transient expression of a dominant negative c-Jun mutant inhibited chlorpyrifos-induced apoptosis, suggesting a role for JNK and JNK-mediated transcription in this cell death. Together, our data suggest apoptosis as a novel toxic endpoint of chlorpyrifos neurotoxicity in the brain that may be independent of AChE inhibition. Furthermore, activation of the ERK1/2 and JNK MAP kinases contributes to, while activation of the p38 MAP kinase counteracts chlorpyrifos-induced apoptosis in cortical neurons."
Chlorpyrifos,AChE inhibition,"It has been suggested that pesticide exposure may be a contributing factor underlying the increased incidence of asthma in the United States and other industrialized nations. To test this hypothesis, airway hyperreactivity was measured in guinea pigs exposed to chlorpyrifos, a widely used organophosphate pesticide. Electrical stimulation of the vagus nerves caused frequency-dependent bronchoconstriction that was significantly potentiated in animals 24 h or 7 days after a single subcutaneous injection of either 390 mg/kg or 70 mg/kg of chlorpyrifos, respectively. Mechanisms by which chlorpyrifos may cause airway hyperreactivity include inhibition of acetylcholinesterase AChE or dysfunction of M3 muscarinic receptors on airway smooth muscle or of autoinhibitory M2 muscarinic receptors on parasympathetic nerves in the lung. AChE activity in the lung was significantly inhibited 24 h after treatment with 390 mg/kg of chlorpyrifos, but not 7 days after injection of 70 mg/kg of chlorpyrifos. Acute exposure to eserine 250 microg/ml also significantly inhibited lung AChE but did not potentiate vagally induced bronchoconstriction. Neuronal M2 receptor function was tested using the M2 agonist pilocarpine, which inhibits vagally induced bronchoconstriction in control animals. In chlorpyrifos-treated animals, pilocarpine dose-response curves were shifted significantly to the right, demonstrating decreased responsiveness of neuronal M2 receptors. In contrast, chlorpyrifos treatment did not alter methacholine-induced bronchoconstriction, suggesting that chlorpyrifos does not alter M3 muscarinic receptor function on airway smooth muscle. These data demonstrate that organophosphate insecticides can cause airway hyperreactivity in the absence of AChE inhibition by decreasing neuronal M2 receptor function."
Chlorpyrifos,AChE inhibition,"The primary mechanism of action for organophosphorus OP insecticides, like chlorpyrifos and parathion, is to inhibit acetylcholinesterase AChE by their oxygenated metabolites oxons, due to the phosphorylation of the serine hydroxyl group located in the active site of the molecule. The rate of phosphorylation is described by the bimolecular inhibitory rate constant ki, which has been used for quantification of OP inhibitory capacity. It has been proposed that a peripheral binding site exists on the AChE molecule, which, when occupied, reduces the capacity of additional oxon molecules to phosphorylate the active site. The aim of this study was to evaluate the interaction of chlorpyrifos oxon CPO and paraoxon PO with rat brain AChE to assess the dynamics of AChE inhibition and the potential role of a peripheral binding site. The ki values for AChE inhibition determined at oxon concentrations of 1-100 nM were 0.206 /- 0.018 and 0.0216 nM-1h-1 for CPO and PO, respectively. The spontaneous reactivation rates of the inhibited AChE for CPO and PO were 0.084-0.087 two determinations and 0.091 /- 0.023 h-1, respectively. In contrast, the ki values estimated at a low oxon concentration 1 pM were approximately 1,000- and 10,000-fold higher than those determined at high CPO and PO concentrations, respectively. At low concentrations, the ki estimates were approximately similar for both CPO and PO 150-180 two determinations and 300 /- 180 nM-1h-1, respectively. This implies that, at low concentrations, both oxons exhibited similar inhibitory potency in contrast to the marked difference exhibited at higher concentrations. These results support the potential importance of a secondary peripheral binding site associated with AChE kinetics, particularly at low, environmentally relevant concentrations."
Chlorpyrifos,AChE inhibition,"Acetylcholinesterase AChE activity was measured in Daphnia magna that had been exposed to four organophosphates OPs parathion, chlorpyrifos, malathion, and acephate and one carbamate propoxur for 48 h. These results were related to acute toxicity median effective concentration EC50 for immobility. For the four OPs, the EC50s were 7.03 pM, 3.17 pM, 10.56 pM, and 309.82 microM, respectively. The EC50 for propoxur was 449.90 pM. Reduction in AChE activity was directly related to an increase in immobility in all chemicals tested. However, the ratio between the EC50 and the AChE median inhibiting concentration ranged from 0.31 to 0.90. A 50 reduction in AChE activity generally was associated with detrimental effects on mobility. However, for acephate, high levels of AChE inhibition 70 were observed in very low concentrations and were not associated with immobility. In addition, increasing the concentration of acephate further had a slight negative effect on AChE activity but a strong detrimental effect on mobility. Binding sites other than AChE possibly are involved in acephate toxicity to D. magna. Our findings demonstrate different associations between AChE inhibition and toxicity when different chemicals are compared. Therefore, the value of using AChE activity as a biomarker in D. magna will be dependent on the chemical tested."
Chlorpyrifos,AChE inhibition,"Chronic and acute exposure to organophosphate OP pesticides may lead to persistent neurological and neurobehavioral effects, which cannot be explained by acetylcholinesterase AChE inhibition alone. It is suggested that other brain proteins are involved. Effects of commonly used organophosphate pesticides on rat neuronal alpha4beta2 nicotinic acetylcholine receptors nAChRs expressed in Xenopus laevis oocytes have been investigated using the two-electrode voltage clamp technique. Several OP pesticides, e.g., parathion-ethyl, chlorpyrifos and disulfoton, inhibited the ACh-induced ion current with potencies in the micromolar range. The potency of inhibition increased with increasing concentrations of the agonist ACh. Comparison of the potency of nAChR inhibition with the potency of AChE inhibition demonstrated that some OPs inhibit nAChRs more potently than AChE. Binding experiments on alpha4beta2 nAChRs showed that the OPs noncompetitively interact with nAChRs. The inhibitory effects on nAChRs are adequately described and explained by a sequential two-step mechanism, in which rapidly reversible OP binding to a separate binding site leads to inhibition followed by a stabilization of the blocked state or receptor desensitization. It is concluded that OPs interact directly with neuronal alpha4beta2 nAChRs to inhibit the agonist-induced response. This implicates that neuronal alpha4beta2 nAChRs are additional targets for some OP pesticides."
Chlorpyrifos,AChE inhibition,"We previously demonstrated that the organophosphorus OP insecticide chlorpyrifos potentiates vagally induced bronchoconstriction independent of acetylcholinesterase AChE inhibition by decreasing the function of neuronal M2 muscarinic receptors that normally inhibit acetylcholine release from parasympathetic nerves supplying airway smooth muscle. However, it has been reported that different OPs may not affect muscarinic receptors equally. To determine if the effects of chlorpyrifos on airway hyperreactivity can be generalized to other OPs, we tested whether parathion and diazinon also inhibit neuronal M2 receptor function resulting in airway hyperreactivity. In control animals, the M2 agonist pilocarpine inhibits vagally induced bronchoconstriction in a dose-related manner. Treatment of guinea pigs with either parathion 1-10 mg/kg, sc or diazinon 0.75-75 mg/kg, sc shifted pilocarpine dose-response curves significantly to the right, indicating loss of neuronal M2 receptor function. These OP treatments also significantly potentiated vagally induced bronchoconstriction. Treatments that did not decrease M2 receptor function parathion at 0.1 mg/kg, sc, or the non-OP insecticide permethrin at 150 mg/kg, sc also did not cause airway hyperreactivity. None of the OP treatments altered bronchoconstriction induced by iv acetylcholine or methacholine in vagotomized guinea pigs, suggesting that OP-induced airway hyperreactivity is not due to altered function of muscarinic receptors on airway smooth muscle or to AChE inhibition. AChE assays of lung, blood, and brain confirmed that parathion and diazinon decreased M2 function at concentrations that did not inhibit AChE. These data suggest that multiple diethyl phosphorothionate OPs cause airway hyperreactivity via a common mechanism of M2 receptor dysfunction independent of AChE inhibition."
Chlorpyrifos,AChE inhibition,"Chlorpyrifos is a common organophosphate insecticide that has been widely detected in surface waters that provide habitat for Pacific salmon in the western United States. Although chlorpyrifos is known to inhibit acetylcholinesterase AChE in the brain and muscle of salmonids, the relationship between sublethal AChE inhibition and more integrative indicators of neuro-behavioral impairment are poorly understood. This is particularly true for exposures that reflect the typical range of pesticide concentrations in the aquatic environment. To directly compare the effects of chlorpyrifos on AChE activity and salmon behavior, we exposed juvenile coho salmon Oncorhynchus kisutch to chlorpyrifos 0-2.5 microg/L for 96 h. A computer-assisted, three-dimensional video imaging system was used to measure spontaneous swimming and feeding behaviors in control and chlorpyrifos-exposed fish. After the behavioral trials, brain and muscle tissues were collected and analyzed for AChE activity. Chlorpyrifos inhibited tissue AChE activity and all behaviors in a dose-dependent manner. Moreover, brain AChE inhibition and reductions in spontaneous swimming and feeding activity were significantly correlated. Benchmark concentrations for sublethal neurotoxicity statistical departure values were lt0.5 microg/L and were similar for both neurochemical and behavioral endpoints. Collectively, these results indicate a close relationship between brain AChE inhibition and behavioral impairment in juvenile coho exposed to chlorpyrifos at environmentally realistic concentrations."
Chlorpyrifos,AChE inhibition,"The acute toxicity of chlorpyrifos and monocrotophos to subterranean termites, Odontotermes obesus Rambur, has been studied by a paper contact method. The LC50 values for chlorpyrifos and monocrotophos were 0.046 and 0.148 microg cm-2, respectively. Chlorpyrifos was 3.22-fold more toxic than monocrotophos. The effect of the pesticides on locomotor behaviour velocity and head acetylcholinesterase AChE EC 3.1.1.7 activity was estimated in LC50-exposed termites at intervals of 4, 8, 12, 16, 20 and 24 h. Chlorpyrifos- and monocrotophos-treated termites showed, respectively, 97 and 88 reduction in locomotor behaviour velocity after 24 h. At all time intervals the chlorpyrifos-treated termites exhibited more AChE inhibition and showed greater distorted behaviour than those exposed to monocrotophos. In vitro studies indicated that the I50 value 50 inhibition for chlorpyrifos against AChE was 8.75 times that of monocrotophos."
Chlorpyrifos,AChE inhibition,"The effect of organophosphate pesticide chlorpyrifos CPF on acetylcholinesterase AChE activity and on skeletal muscle development in Xenopus laevis larvae was studied. To achieve our purpose embryos were exposed to 100, 250 and 3000 microg/l CPF concentrations from late blastula stage 8 h postfertilization, p.f. to stage 47 120 h p.f. and the appearance of AChE activity was monitored every 24 h. Compared with control, CPF treated larvae showed a dose dependent AChE inhibition during the early stages beginning from 24 h until 120 h p.f. that are crucial for neuromuscular development. The amount of AChE activity that can still be measured in treated larvae at stage 47 relative to that of the control, ranged from 28 in CPFs 100 microg/l to 4 in CPFs 3000 microg/l. These low AChE activities were associated with muscular damages such as reduced myotome size and hypertrophies coupled with extensive vacuolated regions in myocytes. The occurrence of this tissue-specific injury was related to CPF concentrations and was most pronounced in CPFs 3000 microg/l which revealed a very severe AChE inhibition during the exposure. Since AChE is the major neurotransmitter of the neuromuscular system, this initial descriptive study will be an useful starting-point to ongoing and future subcellular/molecular studies that correlate the morphological damage with changes in AChE activity."
Chlorpyrifos,AChE inhibition,"Egasyn-beta-glucuronidase complex is located at the luminal site of liver microsomal endoplasmic reticulum. When organophosphorus insecticides OP are incorporated into the liver microsomes, they become tightly bound to egasyn, a carboxylesterase isozyme, and subsequently, beta-glucuronidase BG is dissociated and released into blood. Consequently, the increase in plasma BG activity becomes a good biomarker of OP exposure. Thus, the single administration of EPN O-ethyl O-p-nitrophenylphenylphosphonothioate, acephate and chlorpyrifos increased plasma BG activity in approximately 100-fold the control level in rats. The increase in plasma BG activity after OP exposure is a much more sensitive biomarker of acute OP exposure than acetylcholinesterase AChE inhibition."
Chlorpyrifos,AChE inhibition,"Acetylcholinesterase AChE is one of several hundred serine hydrolases in people potentially exposed to about 80 organophosphorus OP compounds important as insecticides or chemical warfare agents. The toxicology of OPs was interpreted until recently almost solely on the basis of AChE inhibition. It is assumed that each serine hydrolase has a specific function and proposed that every OP compound has a unique inhibitory profile. This review considers the progress in sifting the expanding list of potential serine hydrolase toxicological targets. About 50 serine hydrolase targets have been recognized but only a few studied thoroughly. The toxicological relevance of known secondary OP targets is established mainly from observations with humans butyrylcholinesterase and neuropathy target esterase-lysophospholipase and studies with mice cannabinoid CB1 receptor, carboxylesterase, lysophospholipase and platelet activating factor acetylhydrolase and hen eggs arylformamidase or kynurenine formamidase. Pesticides most commonly shown to inhibit these targets in experimental vertebrates are chlorpyrifos and tribufos. Generally the levels of environmental and occupational OP pesticide exposure are well below those causing in vivo inhibition of secondary serine hydrolase targets. Although exposure to OP insecticides is decreasing from stricter regulations and the development of resistant pest strains, it will continue to some degree for decades in the future. Only two OPs are used as pharmaceuticals, i.e. echothiophate as an ophthalmic for treatment of glaucoma and metrifonate as an anthelmintic for Schistosoma and formerly as a candidate drug for improved cognitive function in Alzheimers disease. In safety evaluations, knowledge on known OP targets must be balanced against major gaps in current understanding since more than 75 of the serine hydrolases are essentially unknown as to OP targeting and relevance, i.e. it is not clear if they play a role in OP toxicology."
Chlorpyrifos,AChE inhibition,"Three life stages of larval grass shrimp were tested to determine whether acetylcholinesterase AChE activity expressed as 24-h sublethal effect endpoints EC20 and EC50 could be used to predict 96-h mortality lowest observable effect concentration LOEC and LC50 for shrimp exposed to three organophosphate insecticides. With regard to mortality, newly hatched larvae and 18-day-old larvae were the most sensitive in the malathion and azinphosmethyl exposures. In the chlorpyrifos exposures, newly hatched larvae and postlarvae were the most sensitive life stages. Results of the 24-h AChE inhibition tests showed that newly hatched larvae were generally more sensitive in the three organophosphate exposures. A regression analysis of the EC50s and LC50s yielded the strongest correlation with R2=0.987 correlation coefficient=0.994 and 95 confidence intervals 0.969-0.999. The LOEC/EC20 relationship yielded R2=0.962. For these grass shrimp life stages and pesticides, sublethal effect endpoints could be used as a predictor of 96-h mortality."
Chlorpyrifos-oxon,AChE inhibition,"Chlorpyrifos 0,0-diethyl 0-3,5,6-trichloro-pyridyl phosphorothioate caused delayed polyneuropathy in man. Contrary to previous studies, we report here that it also causes delayed polyneuropathy in the hen, the animal model for this toxicity. The minimal neuropathic dose was 60-90 mg/kg p.o., corresponding to 4-6 times the estimated LD50. Consequently, pralidoxime 2-PAM in conjunction with atropine was necessary to reverse acetylcholinesterase AChE inhibition and cholinergic toxicity in hens given high enough doses of chlorpyrifos to cause neuropathy. Chlorpyrifos was slowly absorbed after single oral doses and the threshold of inhibition greater than 70 of neuropathy target esterase NTE, the putative target for delayed neuropathy, was reached within 5-6 days. High AChE inhibition greater than 90, however, was measured within hours after dosing because of the higher potency of chlorpyrifos to inhibit this enzyme. In vitro studies showed that chlorpyrifos-oxon, the active metabolite of chlorpyrifos, was 10-20 times more active against AChE than against NTE, confirming the clinical observation. No differences were seen between human and hen enzymes in this respect. Hen and human brain homogenates contain A-esterases which hydrolysed chlorpyrifos to about the same extent in both species. In conclusion, chlorpyrifos causes delayed polyneuropathy in the hen, as was reported in man. The reasons for previous negative data in the hen are probably due to the relatively lower doses which were used. Judging from in vitro studies with hen and human enzymes, there are no differences in the two species as far as their relative sensitivity to delayed polyneuropathy. It is likely that delayed polyneuropathy would develop in both species only after severe cholinergic toxicity requiring aggressive antidotal treatment."
Chlorpyrifos-oxon,AChE inhibition,"Although the acute effects of organophosphorus esters are generally ascribed to inhibition of acetylcholinesterase, work in this laboratory and others indicates that organophosphorus insecticides also interact directly with cholinergic receptors. The current study verifies that the insecticide O,O-diethyl O-3,5,6-trichloro-2-pyridinyl phosphorothionate chlorpyrifos and its oxon metabolite inhibits acetylcholinesterase AChE. The metabolite inhibits rat brain AChE three orders of magnitude more rapidly than chlorpyrifos. In addition to their ability to inhibit AChE, these compounds were shown to interact directly with muscarinic receptors of rat striatum. The oxon metabolite bound at low concentrations to muscarinic receptors labeled by the muscarinic agonist 3H cis-methyldioxolane chlorpyrifos oxon bound with an IC50 value of 22.1 /- 3.6 nM. The receptors bound by chlorpyrifos oxon account for approximately 30 of muscarinic receptors of the striatum and are of the m2 subtype. The binding of chlorpyrifos oxon to the m2 receptor results in a covalent modification of the receptor that does not interfere with the ability of the receptor to interact with the agonist carbachol. This receptor modification may be responsible for the inhibition of adenylate cyclase activity by chlorpyrifos oxon. The oxon inhibited adenylate cyclase with an IC50 of 155 /- 78 nM. The inhibition of adenylate cyclase activity was not blocked by atropine and was additive to that produced by carbachol. The altering of postreceptor signal transduction by chlorpyrifos oxon may interfere with normal cellular signaling, thereby disturbing neurological function. Direct interaction of chlorpyrifos oxon with muscarinic receptors and associated signal transduction is a potential mechanism of neurotoxicity that is independent of AChE inhibition."
Chlorpyrifos-oxon,AChE inhibition,"Chlorpyrifos diethyl 3,5,6-trichloro-2-pyridyl phosphorothionate is a broad-spectrum organophosphorus OP insecticide. Anticipated increases in the already extensive use of this compound have prompted this reassessment of its neurotoxicity. Because chlorpyrifos and other OP insecticides are designed to produce acute cholinergic effects through inhibition of acetylcholinesterase AChE and some OP compounds can cause OP compound-induced delayed neurotoxicity OPIDN via chemical modification of neurotoxic esterase neuropathy target esterase, NTE, this review focuses on the capacity of chlorpyrifos to precipitate these and other adverse neurological consequences. Chlorpyrifos exhibits only moderate acute toxicity in many mammalian species, due largely to detoxification of the active metabolite, chlorpyrifos oxon, by A-esterases. Rats given large doses of chlorpyrifos sc in oil have prolonged inhibition of brain AChE, possibly due to slow release of the parent compound from a depot. Associated cognitive and motor deficits return to normal well before recovery of AChE activity and muscarinic receptor down-regulation, as expected from classic tolerance. Controlled studies of OP compound exposures in humans also indicate that cognitive dysfunction requires substantial AChE inhibition. Information is relatively sparse on neurological dysfunction that is secondary to theoretical reproductive, developmental, or immunological effects, but the best available data indicate that such effects are unlikely to result from exposures to chlorpyrifos. In accord with the much greater inhibitory potency of chlorpyrifos oxon for AChE than for NTE, clinical reports and experimental studies indicate that OPIDN from acute exposures to chlorpyrifos requires doses well in excess of the LD50, even when followed by repeated doses of the OPIDN potentiator phenylmethanesulfonyl fluoride PMSF. Likewise, studies in hens show that subchronic exposures at the maximum tolerated daily dose do not result in OPIDN. Although exposure to chlorpyrifos as a result of normal use is unlikely to produce classical OPIDN, a recent report stated that mild reversible sensory neuropathy had occurred in eight patients who had been exposed subchronically to unknown amounts of chlorpyrifos. It is not clear whether these cases represent an incorrect linkage of cause and effect, a newly disclosed reversible sensory component of OPIDN, or an entirely new phenomenon. The question of the potential for chlorpyrifos to cause this mild sensory neuropathy could be resolved by the use of quantitative tests of sensory function in animal experiments and/or prospective studies of humans with known exposures to chlorpyrifos."
Chlorpyrifos-oxon,AChE inhibition,"Chlorpyrifos CPF, an organophosphorus OP insecticide, exerts toxicity through inhibition of acetylcholinesterase AChE. In the present study, pregnant Sprague-Dawley rats were given CPF 200 mg/kg, sc as a single dose on gestation d 12 GD12 and then sacrificed on either GD16, GD20, or postnatal d 3 PND3 for measurement of maternal and developmental indicators of toxicity. While most CPF-treated rats exhibited no overt signs, a subset 4/28 showed moderate to severe signs of ""cholinergic"" toxicity at 2-3 d after treatment, and these rats were omitted from further studies. Extensive AChE inhibition 82-88 was noted in maternal brain at all three time points following acute exposures. At GD16 and GD20, fetal brain AChE activity was inhibited 42-44. While some degree of recovery in AChE activity was noted in pup brain by PND3, AChE activity was still inhibited 30 in treated pups cross-fostered to control dams. In vitro inhibition of maternal and fetal GD20 brain AChE activity by the active metabolite, chlorpyrifos oxon, suggested that the prenatal brain AChE activity was somewhat more sensitive IC50 at 37.0 degrees C, 20 min dam, 26.6 /- 1.8 x 10-9 M fetus, 6.7 /- 0.4 x 10-9 M. Maternal brain muscarinic receptor binding was more extensively reduced 30-32 at GD20 and PND3 as compared to the developing brain at GD20 16 and PND3 11. A simple postnatal reflex test righting reflex was transiently altered by CPF. The results suggest that CPF exposure to dams during gestation produces more extensive neurotoxicological effects in the dam relative to the developing fetus."
Chlorpyrifos-oxon,AChE inhibition,"Paraoxonase can hydrolyze paraoxon PO, chlorpyrifos-oxon CPO and other organophosphates. Previous studies have indicated that the levels of serum paraoxonase can influence the toxicity of PO and CPO. In the present study we have investigated whether exogenous paraoxonase administered to mice would offer protection toward the acute toxicity of a phosphorothioate, chlorpyrifos CPS. Paraoxonase was purified from rabbit serum and injected i.v., or i.v. plus i.p., in mice. Inhibition of acetylcholinesterase AChE in brain, diaphragm, plasma and red blood cells was measured as an index of CPS 100 mg/kg toxicity. Administration of paraoxonase 30 min before CPS increased plasma enzyme activity toward CPO by 35-fold, and protected against its toxicity protection was still present at 24 h, when enzyme activity was still 20-fold over basal. When paraoxonase was given 30 min after CPS, a significant protection against CPS toxicity was still observed, while after 3 h the protective effect was decreased. To mimic conditions of severe acute poisoning, a higher dose of CPS 150 mg/kg was also administered. Administration of paraoxonase 30 min after this exposure abolished cholinergic signs and significantly protected against AChE inhibition. These results indicate that exogenous paraoxonase offers significant protection against CPS toxicity when administered both before and after the organophosphate, suggesting that it may be considered as a potential additional treatment of organophosphate poisoning."
Chlorpyrifos-oxon,AChE inhibition,"The differential inhibition of the target esterases acetylcholinesterase AChE and neuropathy target esterase NTE, neurotoxic esterase by organophosphorus compounds OPs is followed by distinct neurological consequences in exposed subjects. The present study demonstrates that neuroblastoma cell lines human SH-SY5Y and murine NB41A3 can be used to differentiate between neuropathic OPs i.e., those inhibiting NTE and causing organophosphorus-induced delayed neuropathy and acutely neurotoxic OPs i.e., those highly capable of inhibiting AChE. In these experiments, concentration-response data indicated that the capability to inhibit AChE was over 100x greater than the capability to inhibit NTE for acutely toxic, nonneuropathic OPs e.g., paraoxon and malaoxon in both cell lines. Inhibition of AChE was greater than inhibition of NTE, without overlap of the concentration-response curves, for OPs which are more likely to cause acute, rather than delayed, neurotoxic effects in vivo e.g., chlorpyrifos-oxon, dichlorvos, and trichlorfon. In contrast, concentrations inhibiting AChE and NTE overlapped for neuropathy-causing OPs. For example, apparent IC50 values for NTE inhibition were less than 9.6-fold the apparent IC50 values for AChE inhibition when cells were exposed to the neuropathy-inducing OPs diisopropyl phosphorofluoridate, cyclic tolyl saligenin phosphate, phenyl saligenin phosphate, mipafox, dibutyl dichlorovinyl phosphate, and di-octyl-dichlorovinyl phosphate. In all cases, esterase inhibition occurred at lower concentrations than those needed for cytoxicity. These results suggest that either mouse or human neuroblastoma cell lines can be considered useful in vitro models to distinguish esterase-inhibiting OP neurotoxicants."
Chlorpyrifos-oxon,AChE inhibition,"Carboxylesterases CbxE can be inhibited by organophosphorus esters OPs without causing clinical evidence of toxicity. CbxE are thought to protect the critical enzyme acetylcholinesterase AChE from OP inhibition in animals. CbxE and AChE are both present in neuroblastoma cells, but, even though these cells have potential to be an in vitro model of OP toxicity, the effect of OPs on CbxE and the relationship of CbxE inhibition and AChE inhibition have not yet been examined in these cells. Therefore, this study examined concentration-related OP-induced inhibition of CbxE in human SH-SY5Y and mouse NB41A3 neuroblastoma cells with 11 active esterase inhibitors paraoxon, malaoxon, chlorpyrifos-oxon, tolyl saligenin phosphate TSP, phenyl saligenin phosphate PSP, diisopropyl phosphorofluoridate DFP, mipafox, dichlorvos, trichlorfon, dibutyryl dichlorovinyl phosphate DBVP, and dioctyl dichlorovinyl phosphate DOVP. All could inhibit CbxE, although the enzyme was less likely to be inhibited than AChE following exposure to 9 of the test compounds in the human cell line and to all 11 of the test compounds in the murine cell line. Species differences in concentration-related inhibitions of CbxE were evident. When cells were exposed first to an OP with a low IC50 toward CbxE PSP, followed by an OP with high affinity for AChE paraoxon or malaoxon, inhibitions of CbxE and AChE were additive. This indicated that CbxE did not protect AChE from OP-induced inhibition in this cell culture model."
